Curricular units 2nd sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Scholarship holder,Father's occupation,Mother's occupation,Target
0.0,0,0.0,1,0,0,0,0,10,6,0
13.666666666666666,6,14.0,0,6,6,6,0,4,4,1
0.0,0,0.0,0,0,0,0,0,10,10,0
12.4,5,13.428571428571429,1,6,10,8,0,4,6,1
13.0,6,12.333333333333334,1,5,6,9,0,10,10,1
11.5,5,11.857142857142858,1,5,17,10,0,8,10,1
14.345,8,13.3,1,7,8,9,1,11,8,1
0.0,0,0.0,0,0,5,5,0,10,10,0
14.142857142857142,6,13.875,1,6,7,8,1,10,10,1
13.5,2,11.4,0,5,14,9,0,8,5,0
14.2,5,12.333333333333334,1,6,7,6,0,8,6,1
13.214285714285714,7,13.214285714285714,1,7,8,8,1,10,10,1
0.0,0,0.0,1,0,0,6,0,10,5,0
11.0,5,10.571428571428571,1,6,8,7,1,8,5,1
12.0,5,13.25,1,4,5,7,1,6,6,1
0.0,0,13.2,1,5,7,6,0,4,10,0
11.0,2,12.0,1,1,14,10,0,9,6,2
14.545,8,13.30625,1,7,8,8,0,5,6,1
12.25,4,12.5,1,4,8,8,0,6,4,1
13.5,6,11.666666666666666,1,6,8,7,0,8,8,2
0.0,0,0.0,1,0,0,0,1,9,10,1
11.425,8,11.4375,1,7,9,14,0,8,5,2
12.857142857142858,7,12.857142857142858,1,7,12,12,0,2,2,1
12.285714285714286,6,13.375,1,6,7,8,1,8,5,1
14.114285714285714,7,13.296666666666669,1,6,9,8,0,8,4,1
11.0,4,11.6,1,5,12,8,1,10,10,2
13.285714285714286,6,11.375,1,6,9,9,0,9,8,1
13.0,4,12.666666666666666,1,5,7,9,0,4,4,2
12.333333333333334,5,12.0,1,5,6,6,0,10,10,1
13.716666666666669,6,12.933333333333332,1,6,7,9,0,11,2,2
10.571428571428571,5,11.857142857142858,1,5,17,15,0,3,5,2
13.4,4,12.833333333333334,1,6,9,7,0,22,16,1
13.5,2,11.333333333333334,0,3,8,9,0,7,5,2
14.375,6,12.666666666666666,1,6,8,6,0,6,10,1
13.428571428571429,5,12.4,1,5,9,6,0,10,4,1
10.0,1,0.0,0,0,7,7,0,7,10,0
0.0,0,0.0,1,0,0,0,0,1,1,0
12.0,2,10.0,1,1,8,10,0,7,7,0
11.6,5,11.0,1,5,5,8,0,4,10,1
12.0,3,11.666666666666666,0,3,11,13,0,7,4,0
0.0,0,12.75,1,4,5,6,0,3,3,0
15.8,5,14.8,1,5,5,5,0,8,3,1
14.342857142857142,7,13.928,1,5,9,9,0,3,3,1
13.8,5,13.0,0,4,7,7,0,6,6,0
0.0,0,0.0,1,0,0,0,0,10,10,0
14.333333333333334,3,11.5,1,2,11,9,0,6,5,2
13.2,5,11.666666666666666,1,6,8,6,0,10,10,1
13.771428571428572,7,13.516666666666666,1,6,9,8,1,8,8,1
13.285714285714286,6,11.5,1,6,7,6,1,10,10,1
12.833333333333334,6,12.333333333333334,1,5,7,7,1,10,10,1
14.166666666666666,6,13.666666666666666,1,6,6,6,1,8,10,1
11.833333333333334,6,11.833333333333334,1,6,10,10,1,7,7,2
11.0,3,14.0,1,4,12,11,1,8,8,2
15.8,5,14.714285714285714,1,5,5,7,0,12,12,1
11.0,5,10.6,1,5,10,12,0,10,10,0
13.595,8,13.044444444444444,1,7,10,9,0,6,6,1
0.0,0,0.0,1,0,6,10,0,4,5,0
12.9,10,13.0,1,5,13,9,0,3,3,0
14.935,8,14.935,1,8,8,8,0,11,8,1
0.0,0,0.0,1,0,0,0,0,10,5,2
